Timestamp [µs],Statusword,Position actual value [Inc],Position demand internal value [Inc],Velocity actual value [RPM],Velocity demand value [RPM],Torque actual value [‰],Torque demand [‰],Position following error [Inc],Velocity following error,Torque following error [‰]
0,55,181516,181516,0,0,0,0,0,0,0
1000,55,181516,181516,0,0,0,0,0,0,0
2000,55,181516,181516,0,0,0,0,0,0,0
3000,55,181516,181516,0,0,0,0,0,0,0
4000,55,181516,181516,0,1,1,1,0,1,0
5000,55,181516,181516,0,4,0,1,0,4,1
6000,55,181516,181516,0,7,0,2,0,7,2
7000,55,181516,181516,0,10,0,3,0,10,3
8000,55,181516,181516,0,13,1,4,0,13,3
9250,55,181516,181516,0,17,3,5,0,17,2
10000,55,181516,181516,0,19,0,6,0,19,6
11000,55,181516,181516,0,22,3,7,0,22,4
12000,55,181516,181516,0,25,5,8,0,25,3
13000,55,181516,181516,0,28,1,9,0,28,8
14000,55,181516,181516,0,31,4,10,0,31,6
15000,55,181516,181516,0,34,3,11,0,34,8
16000,55,181517,181516,0,37,4,12,-1,37,8
17000,55,181517,181516,0,40,4,13,-1,40,9
18000,55,181517,181516,0,43,5,14,-1,43,9
19000,55,181517,181516,0,46,5,15,-1,46,10
20000,55,181517,181516,0,49,9,16,-1,49,7
21000,55,181517,181516,0,52,8,17,-1,52,9
22000,55,181518,181516,0,55,9,18,-2,55,9
23000,55,181518,181516,0,58,9,19,-2,58,10
24250,55,181518,181516,0,62,10,20,-2,62,10
24751,55,181518,181516,0,64,11,21,-2,64,10
26000,55,181519,181516,0,67,14,22,-3,67,8
27000,55,181519,181516,0,70,14,23,-3,70,9
28000,55,181519,181516,0,73,16,25,-3,73,9
28752,55,181520,181516,0,76,18,26,-4,76,8
29750,55,181520,181516,0,79,16,27,-4,79,11
31000,55,181521,181516,0,82,20,28,-5,82,8
32002,55,181522,181516,0,85,21,30,-6,85,9
32750,55,181522,181516,0,88,25,30,-6,88,5
34002,55,181524,181516,0,91,26,32,-8,91,6
35000,55,181525,181516,0,94,28,33,-9,94,5
36000,55,181526,181516,0,97,30,35,-10,97,5
37002,55,181528,181516,0,100,29,36,-12,100,7
38000,55,181529,181516,0,103,29,37,-13,103,8
39000,55,181531,181516,0,106,34,39,-15,106,5
40000,55,181533,181516,0,109,35,40,-17,109,5
41000,55,181534,181516,0,112,35,41,-18,112,6
42000,55,181536,181516,0,115,35,43,-20,115,8
43002,55,181538,181516,0,118,42,44,-22,118,2
44002,55,181540,181516,0,121,42,45,-24,121,3
45250,55,181542,181516,0,125,43,47,-26,125,4
45750,55,181543,181516,0,127,43,48,-27,127,5
47000,55,181546,181516,0,130,48,50,-30,130,2
48000,55,181549,181516,0,133,50,51,-33,133,1
49002,55,181552,181516,0,136,53,53,-36,136,0
50002,55,181556,181516,0,139,52,54,-40,139,2
51000,55,181559,181516,1,142,49,56,-43,141,7
52000,55,181563,181516,1,145,55,57,-47,144,2
53000,55,181567,181516,1,148,57,58,-51,147,1
54002,55,181572,181516,1,151,57,60,-56,150,3
55002,55,181577,181516,2,154,59,61,-61,152,2
56002,55,181582,181516,2,157,60,63,-66,155,3
57002,55,181588,181516,3,160,59,64,-72,157,5
58002,55,181594,181516,3,163,62,66,-78,160,4
59002,55,181601,181516,4,166,63,67,-85,162,4
60002,55,181608,181516,5,169,64,69,-92,164,5
61002,55,181616,181516,6,172,67,70,-100,166,3
62002,55,181624,181516,7,175,65,71,-108,168,6
62753,55,181631,181516,8,178,67,72,-115,170,5
64003,55,181642,181516,9,181,72,74,-126,172,2
65002,55,181651,181516,11,184,70,75,-135,173,5
66003,55,181661,181516,12,187,73,77,-145,175,4
67003,55,181671,181516,14,190,74,78,-155,176,4
68002,55,181681,181516,15,193,74,79,-165,178,5
69003,55,181692,181516,16,196,76,81,-176,180,5
70003,55,181703,181516,17,199,79,82,-187,182,3
71002,55,181713,181516,18,202,78,84,-197,184,6
71753,55,181722,181516,19,205,81,85,-206,186,4
73003,55,181736,181516,20,208,83,87,-220,188,4
74003,55,181747,181516,20,211,86,88,-231,191,2
75003,55,181757,181516,20,214,88,90,-241,194,2
76002,55,181767,181516,19,217,92,92,-251,198,0
77003,55,181777,181516,18,220,87,94,-261,202,7
78002,55,181785,181516,17,223,96,96,-269,206,0
79001,55,181794,181516,15,226,98,99,-278,211,1
80001,55,181802,181516,14,229,97,101,-286,215,4
81001,55,181810,181516,13,232,99,103,-294,219,4
82003,55,181819,181516,12,235,101,105,-303,223,4
83001,55,181827,181516,12,238,102,107,-311,226,5
84003,55,181836,181516,12,241,107,109,-320,229,2
85003,55,181846,181516,13,244,109,111,-330,231,2
86003,55,181856,181516,14,247,111,112,-340,233,1
87002,55,181866,181516,16,250,111,114,-350,234,3
88003,55,181878,181516,17,253,109,115,-362,236,6
89003,55,181889,181516,19,256,113,117,-373,237,4
90003,55,181901,181516,22,259,113,118,-385,237,5
91004,55,181914,181516,26,262,121,119,-398,236,-2
92003,55,181928,181516,29,265,118,120,-412,236,2
93005,55,181943,181516,34,268,121,121,-427,234,0
94005,55,181958,181516,39,271,125,122,-442,232,-3
95005,55,181973,181516,43,274,121,122,-457,231,1
96005,55,181990,181516,47,277,118,123,-474,230,5
97005,55,182008,181516,52,280,123,124,-492,228,1
98005,55,182026,181516,56,283,123,125,-510,227,2
99005,55,182045,181516,59,286,126,126,-529,227,0
100005,55,182065,181516,63,289,125,127,-549,226,2
101005,55,182086,181516,66,292,126,128,-570,226,2
102005,55,182108,181516,70,295,127,129,-592,225,2
103005,55,182132,181516,74,298,130,130,-616,224,0
104005,55,182156,181516,78,301,133,130,-640,223,-3
105005,55,182181,181516,82,304,127,131,-665,222,4
106005,55,182208,181516,85,307,130,132,-692,222,2
107005,55,182236,181516,90,310,128,133,-720,220,5
108005,55,182264,181516,94,313,132,134,-748,219,2
109005,55,182294,181516,98,316,132,135,-778,218,3
110005,55,182326,181516,102,319,130,135,-810,217,5
111005,55,182358,181516,106,322,133,136,-842,216,3
112005,55,182392,181516,111,325,131,137,-876,214,6
113005,55,182427,181516,115,328,133,137,-911,213,4
114005,55,182464,181516,120,331,133,138,-948,211,5
115006,55,182501,181516,125,334,133,138,-985,209,5
116006,55,182541,181516,130,337,141,139,-1025,207,-2
117005,55,182582,181516,135,340,138,139,-1066,205,1
118005,55,182625,181516,141,343,135,140,-1109,202,5
119005,55,182670,181516,147,346,141,140,-1154,199,-1
120005,55,182716,181516,153,349,143,140,-1200,196,-3
120756,55,182752,181516,157,351,137,140,-1236,194,3
122005,55,182815,181516,165,355,138,140,-1299,190,2
123006,55,182866,181516,171,358,137,140,-1350,187,3
124006,55,182919,181516,177,361,135,140,-1403,184,5
125005,55,182973,181516,182,364,138,141,-1457,182,3
126006,55,183028,181516,187,367,140,141,-1512,180,1
127005,55,183084,181516,192,370,140,141,-1568,178,1
128006,55,183142,181516,197,373,141,142,-1626,176,1
129005,55,183200,181516,201,376,142,142,-1684,175,0
130005,55,183259,181516,205,379,145,143,-1743,174,-2
131005,55,183319,181516,208,382,140,144,-1803,174,4
132005,55,183379,181516,212,385,137,144,-1863,173,7
133005,55,183440,181516,215,388,141,145,-1924,173,4
134006,55,183503,181516,218,391,140,146,-1987,173,6
135005,55,183565,181516,221,394,140,147,-2049,173,7
136006,55,183629,181516,224,397,145,148,-2113,173,3
137005,55,183693,181516,227,400,146,149,-2177,173,3
138006,55,183759,181516,230,403,151,149,-2243,173,-2
139005,55,183825,181516,234,406,149,150,-2309,172,1
140006,55,183894,181516,238,409,146,151,-2378,171,5
141006,55,183964,181516,243,412,143,151,-2448,169,8
142006,55,184036,181516,248,415,149,151,-2520,167,2
143006,55,184109,181516,253,418,155,152,-2593,165,-3
144006,55,184183,181516,257,421,150,152,-2667,164,2
145005,55,184259,181516,263,424,155,152,-2743,161,-3
146005,55,184336,181516,268,427,157,152,-2820,159,-5
147006,55,184415,181516,273,430,156,152,-2899,157,-4
148006,55,184495,181516,279,433,149,153,-2979,154,4
149006,55,184577,181516,284,436,147,153,-3061,152,6
150006,55,184659,181516,288,439,149,153,-3143,151,4
151005,55,184743,181516,293,442,154,153,-3227,149,-1
152005,55,184827,181516,297,445,155,154,-3311,148,-1
153006,55,184913,181516,301,448,154,154,-3397,147,0
154006,55,184999,181516,305,451,149,155,-3483,146,6
155006,55,185087,181516,309,454,150,155,-3571,145,5
156006,55,185175,181516,313,457,150,156,-3659,144,6
157006,55,185265,181516,317,460,151,156,-3749,143,5
158006,55,185356,181516,321,463,155,157,-3840,142,2
159006,55,185448,181516,325,466,155,157,-3932,141,2
160006,55,185543,181516,330,469,152,157,-4027,139,5
160756,55,185614,181516,334,471,149,157,-4098,137,8
162006,55,185735,181516,340,475,157,157,-4219,135,0
163006,55,185832,181516,345,478,154,158,-4316,133,4
164006,55,185931,181516,349,481,156,158,-4415,132,2
165006,55,186031,181516,353,484,157,158,-4515,131,1
166005,55,186133,181516,358,487,156,158,-4617,129,2
167006,55,186236,181516,363,490,154,159,-4720,127,5
168005,55,186339,181516,367,493,156,159,-4823,126,3
169005,55,186444,181516,372,496,159,159,-4928,124,0
170006,55,186551,181516,376,499,157,159,-5035,123,2
171006,55,186658,181516,381,502,155,159,-5142,121,4
172005,55,186767,181516,385,505,154,160,-5251,120,6
173005,55,186878,181516,390,508,157,160,-5362,118,3
174005,55,186989,181516,395,511,159,160,-5473,116,1
175006,55,187101,181516,399,514,162,160,-5585,115,-2
176006,55,187215,181516,403,517,154,160,-5699,114,6
177005,55,187330,181516,407,520,157,160,-5814,113,3
178006,55,187445,181516,412,523,159,161,-5929,111,2
179006,55,187562,181516,416,526,160,161,-6046,110,1
180006,55,187680,181516,420,529,159,161,-6164,109,2
181006,55,187799,181516,424,532,160,161,-6283,108,1
182006,55,187920,181516,429,535,155,161,-6404,106,6
183006,55,188043,181516,434,538,160,161,-6527,104,1
184006,55,188166,181516,438,541,164,161,-6650,103,-3
185006,55,188291,181516,443,544,157,162,-6775,101,5
186006,55,188417,181516,448,547,159,162,-6901,99,3
187006,55,188544,181516,452,550,159,162,-7028,98,3
188006,55,188672,181516,456,553,159,162,-7156,97,3
189006,55,188800,181516,460,556,161,162,-7284,96,1
190006,55,188930,181516,464,559,159,162,-7414,95,3
191006,55,189061,181516,468,562,159,163,-7545,94,4
192006,55,189193,181516,472,565,164,163,-7677,93,-1
193006,55,189327,181516,476,568,161,163,-7811,92,2
194006,55,189462,181516,482,571,157,163,-7946,89,6
195006,55,189599,181516,487,574,159,163,-8083,87,4
196006,55,189737,181516,491,577,162,162,-8221,86,0
197006,55,189878,181516,496,580,161,162,-8362,84,1
198006,55,190017,181516,500,582,160,163,-8501,82,3
199006,55,190158,181516,504,586,160,163,-8642,82,3
200006,55,190299,181516,507,589,161,163,-8783,82,2
201006,55,190442,181516,511,592,164,163,-8926,81,-1
202006,55,190585,181516,515,595,156,163,-9069,80,7
203006,55,190730,181516,519,598,162,164,-9214,79,2
204006,55,190877,181516,523,601,166,164,-9361,78,-2
205006,55,191025,181516,528,604,157,163,-9509,76,6
206006,55,191174,181516,533,607,159,163,-9658,74,4
207006,55,191324,181516,537,610,162,163,-9808,73,1
208006,55,191475,181516,541,613,162,163,-9959,72,1
209006,55,191627,181516,545,616,161,164,-10111,71,3
210006,55,191779,181516,548,619,157,164,-10263,71,7
211006,55,191933,181516,552,622,164,164,-10417,70,0
212006,55,192087,181516,555,625,160,164,-10571,70,4
213006,55,192243,181516,559,628,157,164,-10727,69,7
214006,55,192400,181516,563,631,164,164,-10884,68,0
215006,55,192559,181516,568,634,166,164,-11043,66,-2
216006,55,192718,181516,572,637,160,164,-11202,65,4
216756,55,192838,181516,575,639,160,164,-11322,64,4
218006,55,193039,181516,579,643,164,165,-11523,64,1
219006,55,193201,181516,582,646,162,165,-11685,64,3
220006,55,193364,181516,586,649,160,165,-11848,63,5
221006,55,193527,181516,589,652,162,165,-12011,63,3
222006,55,193693,181516,593,655,160,165,-12177,62,5
223006,55,193859,181516,597,658,165,165,-12343,61,0
224006,55,194026,181516,601,661,165,165,-12510,60,0
225006,55,194195,181516,605,664,165,165,-12679,59,0
226006,55,194364,181516,609,667,159,165,-12848,58,6
227006,55,194535,181516,613,670,164,165,-13019,57,1
228006,55,194706,181516,617,673,164,166,-13190,56,2
229006,55,194878,181516,620,676,162,166,-13362,56,4
230006,55,195052,181516,624,679,162,166,-13536,55,4
231006,55,195226,181516,628,682,162,166,-13710,54,4
232006,55,195402,181516,632,685,162,166,-13886,53,4
233006,55,195579,181516,636,688,159,166,-14063,52,7
234005,55,195756,181516,639,691,164,166,-14240,52,2
235006,55,195934,181516,642,694,164,166,-14418,52,2
236006,55,196114,181516,646,697,160,166,-14598,51,6
237006,55,196249,181516,649,699,164,166,-14733,50,2
238006,55,196476,181516,654,703,166,166,-14960,49,0
239006,55,196658,181516,658,706,164,166,-15142,48,2
240006,55,196842,181516,661,709,164,166,-15326,48,2
241006,55,197026,181516,664,712,165,167,-15510,48,2
242006,55,197211,181516,668,715,165,167,-15695,47,2
243006,55,197397,181516,671,718,167,167,-15881,47,0
244006,55,197585,181516,676,721,164,167,-16069,45,3
245006,55,197774,181516,680,724,169,166,-16258,44,-3
246006,55,197965,181516,684,727,167,166,-16449,43,-1
247006,55,198156,181516,689,730,164,166,-16640,41,2
248006,55,198348,181516,692,733,162,166,-16832,41,4
